ID,ItemType,SubType,Set,Name (EN),Name (JP),Name (Tr),Description (EN),Description (JP),Description (Tr),Summary (EN),Summary (JP),Summary (Tr)
23000,Armour,Legs,Paladin,Paladin Leggings,聖騎士の足甲,Instep of the Holy Knights,"Leggings of Leeroy, Paladin of the Catacombs.\nLong ago, the Way of White produced its first Undead, a paladin in golden armor. With the legendary treasures Grant and Sanctus, Leeroy set out for Lordran, Land of the Gods, in the first Undead mission of the Way of White.",地下墓地の聖騎士、リロイの足甲\nはるか昔、白教に最初に生まれた不死は 黄金の鎧に身を包む聖騎士だったという\n聖騎士は二つの宝具、グラントとサンクトゥスを携え 神々の地ロードランの探索に旅立った 白教の不死の使命のはじまりである,"Holy Knight of the underground cemetery, Leroy of the instep \ n long ago, \ n Holy Knight two of treasure instrument that is first born immortality to the white church was the Holy Knight adorned in golden armor, the grant and the Sanctus there at the beginning of the white Christian of the immortality of the mission that traveled to the search of armed gods of the earth Rodoran",,,
40000,Armour,Head,Dark,Dark Mask,闇の仮面,Mask of Darkness,"Mask of the Darkwraiths, former knights of New Londo who descended into Dark.\nSome say the skeletal mask of an ancient Darkwraith is partially fused with the flesh of its face.",かつての小ロンドの騎士 闇に堕ちたダークレイスの仮面\nそのドクロのような見た目からか 古いダークレイスにおいては 半ば本体と一体化しているとも伝えられる,"Reportedly also are integrated body and the middle in the former old dark Reis or from the appearance, such as a mask \ n the skull of dark Reis fell to the knight darkness of small Rondo",,,
41000,Armour,Body,Dark,Dark Armor,闇の鎧,Armor of darkness,"Armor of the Darkwraiths, former knights of New Londo who descended into Dark.\nTheir armor transformed, and remains a symbol of the Dark servants and their diabolical art of Lifedrain.",かつての小ロンドの騎士 闇に堕ちたダークレイスの鎧\nその鎧は変質し、今や吸精の業と共に 闇の眷属の象徴的姿として知られている,"Former armor \ n the armor of dark Reis fell to the knight darkness of small Rondo is altered, known as the iconic figure of Kin of darkness along with the now 吸精 of work",,,
42000,Armour,Hands,Dark,Dark Gauntlets,闇の手甲,Hand-back of darkness,"Gauntlets of the Darkwraiths, former knights of New Londo who descended into Dark.\nTheir gauntlets transformed, and remain symbol of the Dark servants and their diabolical art of Lifedrain.",かつての小ロンドの騎士 闇に堕ちたダークレイスの手甲\nその鎧は変質し、今や吸精の業と共に 闇の眷属の象徴的姿として知られている,"Former hand-back \ n the armor of dark Reis fell to the knight darkness of small Rondo is altered, known as the iconic figure of Kin of darkness along with the now 吸精 of work",,,
43000,Armour,Legs,Dark,Dark Leggings,闇の足甲,Darkness of the instep,"Leggings of the Darkwraiths, former knights of New Londo who descended into Dark.\nTheir leggings transformed, and remain a symbol of the Dark servants and their diabolical art of Lifedrain.",かつての小ロンドの騎士 闇に堕ちたダークレイスの足甲\nその鎧は変質し、今や吸精の業と共に 闇の眷属の象徴的姿として知られている,"Former instep \ n the armor of dark Reis fell to the knight darkness of small Rondo is altered, known as the iconic figure of Kin of darkness along with the now 吸精 of work",,,
50000,Armour,Head,Brigand,Brigand Hood,山賊の頭巾,Hood of bandits,"Hood worn by the brigands who raid mountain hamlets and attack travelers.\nIn addition to protecting against the blazing sun, dust, and sand, it helps them tell friend from foe in the heat of battle.",山村や旅人を襲う山賊たちの頭巾\n強い日差しや砂埃を防ぐほか 同士打ちを避けるための記号でもある,It is also a symbol of order to avoid the other killing each other by mistake to prevent the bandits of the hood \ n strong sunlight and dust to hit the mountain villages and travelers,,,
51000,Armour,Body,Brigand,Brigand Armor,山賊の鎧,Armor of bandits,Armor worn by the brigands who raid mountain hamlets and attack travelers.\nThe addition of metal over a base of cloth and leather offers good mobility and defense.,山村や旅人を襲う山賊たちの鎧\n布と革のベースに金属を組み合わせ 動きやすさと防御力を両立させている,It is made to both the bandits of armor \ n cloth and the base combination of the metal to the mobility of the leather and the defense force to hit the mountain villages and travelers,,,
52000,Armour,Hands,Brigand,Brigand Gauntlets,山賊の篭手,Gauntlet of bandits,Gauntlets worn by the brigands who raid mountain hamlets and attack travelers.\nThe addition of metal over a base of cloth and leather offers good mobility and defense.,山村や旅人を襲う山賊たちの篭手\n布と革のベースに金属を組み合わせ 動きやすさと防御力を両立させている,It is made to both the bandits of the gauntlet \ n cloth and the base combination of the metal to the mobility of the leather and the defense force to hit the mountain villages and travelers,,,
53000,Armour,Legs,Brigand,Brigand Trousers,山賊のズボン,Bandits of pants,Trousers worn by the brigands who raid mountain hamlets and attack travelers.\nThe addition of metal over a base of cloth and leather offers good mobility and defense.,山村や旅人を襲う山賊たちのズボン\n布と革のベースに金属を組み合わせ 動きやすさと防御力を両立させている,It is made to both the bandits of pants \ n cloth and the base combination of the metal to the mobility of the leather and the defense force to hit the mountain villages and travelers,,,
60000,Armour,Head,Shadow,Shadow Mask,影の覆面,Undercover of the shadow,"Black cloth mask worn by spooks from an Eastern land. Designed so as not to hinder their unique form of martial arts.\nWhile it sacrifices defense for the sake of greater mobility, it does offer resistance to bleeding and poison among other things, perhaps due to the nature of their duties.",黒布をベースにした、東の地の間者たちの覆面 彼ら独特の体術を邪魔しない作りになっている\n防御力を犠牲に運動性を高めているが その任務の性質故か、出血や毒などには耐性がある,"It was a black cloth on the base, but to enhance the mobility at the expense of \ n defense force has been making that does not interfere with the undercover between who the east of the earth their unique body art or because the nature of the mission, such as there is a resistance to bleeding and poison",,,
61000,Armour,Body,Shadow,Shadow Garb,影の上衣,Ependymal of shadow,"Black cloth garb worn by spooks from an Eastern land. Designed so as not to hinder their unique form of martial arts.\nWhile it sacrifices defense for the sake of greater mobility, it does offer resistance to bleeding and poison among other things, perhaps due to the nature of espionage.",黒布をベースにした、東の地の間者たちの上衣 彼ら独特の体術を邪魔しない作りになっている\n防御力を犠牲に運動性を高めているが その任務の性質故か、出血や毒などには耐性がある,"It was a black cloth on the base, but to enhance the mobility at the expense of \ n defense force has been making that does not interfere between who ependymal their unique body art of the east of the land or because the nature of the mission, such as there is a resistance to bleeding and poison",,,
62000,Armour,Hands,Shadow,Shadow Gauntlets,影の手甲,Hand-back of the shadow,"Black cloth gauntlets worn by spooks from an Eastern land. Designed so as not to hinder their unique form of martial arts.\nWhile they sacrifice defense for the sake of greater mobility, they do offer resistance to bleeding and poison among other things, perhaps due to the nature of espionage.",黒布をベースにした、東の地の間者たちの手甲 彼ら独特の体術を邪魔しない作りになっている\n防御力を犠牲に運動性を高めているが その任務の性質故か、出血や毒などには耐性がある,"It was a black cloth on the base, but to enhance the mobility at the expense of \ n defense force hand-back of between who the east of the land has been making that does not interfere with their unique body art or because the nature of the mission, such as there is a resistance to bleeding and poison",,,
63000,Armour,Legs,Shadow,Shadow Leggings,影の足甲,The shadow of the instep,"Black cloth leggings worn by spooks from an Eastern land. Designed so as not to hinder their unique form of martial arts.\nWhile they sacrifice defense for the sake of greater mobility, they do offer resistance to bleeding and poison among other things, perhaps due to the nature of espionage.",黒布をベースにした、東の地の間者たちの足甲 彼ら独特の体術を邪魔しない作りになっている\n防御力を犠牲に運動性を高めているが その任務の性質故か、出血や毒などには耐性がある,"Was a black cloth on the base, or is to enhance the mobility at the expense of \ n defense force has been making that does not interfere between who the instep of the east of the land their unique body art because the nature of its mission , there is a resistance, such as bleeding or poison",,,
70000,Armour,Head,Black Iron,Black Iron Helm,黒鉄の兜,Helmet of black iron,"Helm of Black Iron Tarkus, a knight known for his great strength.\nBuilt of a special black iron and providing strong defense, notably against fire, but so terribly heavy to be unwieldy to all but Tarkus himself.",大力で知られる騎士のタルカスの兜\n特殊な黒鉄で作られ、ひどく重く タルカス本人の他は容易に扱えないが その防御効果は高く、特に炎属性の攻撃に強い,"Made with Tarkus helmet \ n special black iron Knight, known for large force, is high, strong in particular flame attribute of the attack other is not easy to handle, but the protective effect of seriously heavy Tarkus person",,,
71000,Armour,Body,Black Iron,Black Iron Armor,黒鉄の鎧,Armor of black iron,"Armor of Black Iron Tarkus, a knight known for his great strength.\nBuilt of a special black iron and providing strong defense, notably against fire, but so terribly heavy to be unwieldy to all but Tarkus himself.",大力で知られる騎士のタルカスの鎧\n特殊な黒鉄で作られ、ひどく重く タルカス本人の他は容易に扱えないが その防御効果は高く、特に炎属性の攻撃に強い,"Made with Tarkus armor \ n special black iron Knight, known for large force, is high, strong in particular flame attribute of the attack other is not easy to handle, but the protective effect of seriously heavy Tarkus person",,,
72000,Armour,Hands,Black Iron,Black Iron Gauntlets,黒鉄の手甲,Hand-back of the black iron,"Gauntlets of Black Iron Tarkus, a knight known for his great strength.\nBuilt of a special black iron and providing strong defense, notably against fire, but so terribly heavy to be unwieldy to all but Tarkus himself.",大力で知られる騎士のタルカスの手甲\n特殊な黒鉄で作られ、ひどく重く タルカス本人の他は容易に扱えないが その防御効果は高く、特に炎属性の攻撃に強い,"Made with hand-back \ n special black iron Tarkus Knight, known for large force, is high, strong in particular flame attribute of the attack other is not easy to handle, but the protective effect of seriously heavy Tarkus person",,,
73000,Armour,Legs,Black Iron,Black Iron Leggings,黒鉄の足甲,Instep of black iron,"Leggings of Black Iron Tarkus, a knight known for his great strength.\nBuilt of a special black iron and providing strong defense, notably against fire, but so terribly heavy to be unwieldy to all but Tarkus himself.",大力で知られる騎士のタルカスの足甲\n特殊な黒鉄で作られ、ひどく重く タルカス本人の他は容易に扱えないが その防御効果は高く、特に炎属性の攻撃に強い,"Made with Tarkus instep \ n special black iron Knight, known for large force, is high, strong in particular flame attribute of the attack other is not easy to handle, but the protective effect of seriously heavy Tarkus person",,,
80000,Armour,Head,Smough,Smough's Helm,スモウの兜,Helmet of sumo,"Helm of Smough, the Executioner, protector of the cathedral at the forsaken city of Anor Londo. It offers extremely high defense and can be worn by humans, but not without great difficulty.",棄てられたアノール・ロンドで聖堂を守る 「処刑者」スモウの兜\n非常に高い防御力を持ち 人の身で装備することもできるが 正直いろいろと無理があるようだ,"It seems to protect the church can also be equipped with only ""executed person"" who has a helmet \ n very high defense force of sumo, but there is a lot of honesty impossible in anole Ronde, which is discarded",,,
81000,Armour,Body,Smough,Smough's Armor,スモウの鎧,Armor of sumo,"Armor of Smough, the Executioner, protector of the cathedral at the forsaken city of Anor Londo. It offers extremely high defense and can be worn by humans, but not without great difficulty.",棄てられたアノール・ロンドで聖堂を守る 「処刑者」スモウの鎧\n非常に高い防御力を持ち 人の身で装備することもできるが 正直いろいろと無理があるようだ,"It seems to protect the church can also be equipped with only ""executed person"" who has the armor \ n very high defense force of sumo, but there is a lot of honesty impossible in anole Ronde, which is discarded",,,
82000,Armour,Hands,Smough,Smough's Gauntlets,スモウの手甲,Hand-back of sumo,"Gauntlets of Smough, the Executioner, protector of the cathedral at the forsaken city of Anor Londo. It offers extremely high defense and can be worn by humans, but not without great difficulty.",棄てられたアノール・ロンドで聖堂を守る 「処刑者」スモウの手甲\n非常に高い防御力を持ち 人の身で装備することもできるが 正直いろいろと無理があるようだ,"Seems to protect the church can also be equipped with only ""executed person"" who has a hand-back \ n very high defense force of sumo, but there is a lot of honesty impossible in anole Ronde, which is discarded",,,
83000,Armour,Legs,Smough,Smough's Leggings,スモウの足甲,Sumo of the instep,"Leggings of Smough, the Executioner, protector of the cathedral at the forsaken city of Anor Londo. It offers extremely high defense and can be worn by humans, but not without great difficulty.",棄てられたアノール・ロンドで聖堂を守る 「処刑者」スモウの足甲\n非常に高い防御力を持ち 人の身で装備することもできるが 正直いろいろと無理があるようだ,"It seems it can also be equipped with only the people have the instep \ n very high defense force protecting the Cathedral ""executions's"" sumo there is an honest lot of impossible in the anole Ronde, which is discarded",,,
90000,Armour,Head,Channeler,Six-Eyed Helm of the Channelers,伝道者の六目兜,Six eyes helmet of evangelist,"Helm of the Channelers, sorcerers that serve Seath the Scaleless. The six eyes arranged in two vertical columns compensate for Seath's lack of sight.\nThe heaviest of protective gear for sorcerers, and imbued with magic.",白竜シースに仕える魔術師たち、伝道者の兜 縦二列に並んだ六つの目は シースの見えないそれを代替するためである\n魔術師の防具としては最も重く また魔法の力を秘めている,"Magician who serve in the White Dragon sheath, six eyes arranged in helmet vertical two rows of evangelists as the armor \ n magician in order to substitute it invisible sheath hidden the power of the most heavily also magic are",,,
91000,Armour,Body,Channeler,Robe of the Channelers,伝道者の聖衣,St. clothing of evangelist,"Robe of the Channelers, sorcerers that serve Seath the Scaleless. Even after the onset of Seath's madness, the \snatchers,\""as they were often called, ventured to far lands to find suitable human specimens.\nThe heaviest of protective gear for sorcerers, and imbued with magic.""",白竜シースに仕える魔術師たち、伝道者の聖衣 彼らは狂気の後もシースの下にあり続け ときに各地に赴き、動けぬシースの手足となった 故に伝道者は「人さらい」とも呼ばれる\n魔術師の防具としては最も重く また魔法の力を秘めている,"Magician who serve in the White Dragon sheath, \ n St. clothing of evangelist They traveled to various places in the time after the madness also continues to be the bottom of the sheath, therefore became the hands and feet of the move unexpected sheath evangelists, which is also referred to as a ""kidnapping"" They have hidden the power of the most heavily also magic as armor magician",,,
92000,Armour,Hands,Channeler,Gauntlets of the Channelers,伝道者の篭手,Gauntlet of evangelist,"Gauntlets of the Channelers, sorcerers that serve Seath the Scaleless. Even after the onset of Seath's madness, the \snatchers,\""as they were often called, ventured to far lands to find suitable human specimens.\nThe heaviest of protective gear for sorcerers, and imbued with magic.""",白竜シースに仕える魔術師たち、伝道者の篭手 彼らは狂気の後もシースの下にあり続け ときに各地に赴き、動けぬシースの手足となった 故に伝道者は「人さらい」とも呼ばれる\n魔術師の防具としては最も重く また魔法の力を秘めている,"Magician who serve in the White Dragon sheath, evangelist of the gauntlet \ n magic they traveled to various places in the time after the madness also continues to be the bottom of the sheath, therefore became the hands and feet of the move unexpected sheath evangelists, which is also referred to as a ""kidnapping"" They have hidden the power of the most heavily also magic as armor teacher",,,
93000,Armour,Legs,Channeler,Waistcloth of the Channelers,伝道者の腰巻き,Loincloth of evangelist,"Waistcloth of the Channelers, sorcerers that serve Seath the Scaleless. Even after the onset of Seath's madness, the \snatchers,\""as they were often called, ventured to far lands to find suitable human specimens.\nThe heaviest of protective gear for sorcerers, and imbued with magic.""",白竜シースに仕える魔術師たち、伝道者の腰巻き 彼らは狂気の後もシースの下にあり続け ときに各地に赴き、動けぬシースの手足となった 故に伝道者は「人さらい」とも呼ばれる\n魔術師の防具としては最も重く また魔法の力を秘めている,"Magician who serve in the White Dragon sheath, evangelist of loincloth \ n magic they traveled to various places in the time after the madness also continues to be the bottom of the sheath, therefore became the hands and feet of the move unexpected sheath evangelists, which is also referred to as a ""kidnapping"" They have hidden the power of the most heavily also magic as armor teacher",,,
100000,Armour,Head,Favor,Helm of Favor,寵愛の兜,Helmet of favor,"Helm of Lautrec the Embraced, representing the goddess Fina's love.\nDuring his solitude, he forsook everything, for he believed in the goddess's love for him.",女神フィナの寵愛を表現した 「抱かれ」騎士ロートレクの兜\n彼は孤独の中で女神の寵愛を信じ そのために全てを捨てた,"Helmet \ n of the representation of the favor of the goddess Fina ""embraced been"" knight Rotoreku he abandoned everything for their faith in favor of the goddess in the solitude",,,
101000,Armour,Body,Favor,Embraced Armor of Favor,寵愛の抱かれ鎧,Embraced by the favor armor,"Armor of Lautrec the Embraced, representing the goddess Fina's love.\nThe goddess's arms wrap around it, as if to embrace the wearer.",女神フィナの寵愛を表現した 「抱かれ」騎士ロートレクの鎧\nその表面には、装備者を抱くように 女神の腕が絡みついている,"The representation of the favor of the goddess Fina ""embrace is"" armor \ n the surface of the knight Rotoreku, are entangled with the arms of the goddess to embrace the equipment's",,,
102000,Armour,Hands,Favor,Gauntlets of Favor,寵愛の手甲,Hand-back of favor,"Gauntlets of Lautrec the Embraced, representing the goddess Fina's love.\nDuring his solitude, he forsook everything, for he believed in the goddess's love for him.",女神フィナの寵愛を表現した 「抱かれ」騎士ロートレクの手甲\n彼は孤独の中で女神の寵愛を信じ そのために全てを捨てた,"Hand-back \ n of the representation of the favor of the goddess Fina ""embraced been"" knight Rotoreku he abandoned everything for their faith in favor of the goddess in the solitude",,,
103000,Armour,Legs,Favor,Leggings of Favor,寵愛の足甲,Instep of favor,"Leggings of Lautrec the Embraced, representing the goddess Fina's love.\nDuring his solitude, he forsook everything, for he believed in the goddess's love for him.",女神フィナの寵愛を表現した 「抱かれ」騎士ロートレクの足甲\n彼は孤独の中で女神の寵愛を信じ そのために全てを捨てた,"Representation of the favor of the goddess Fina ""embrace is"" Knight Rotoreku instep \ n He abandoned everything for that believe in the favor of the goddess in the solitude",,,
110000,Armour,Head,Adventurer,Helm of the Wise,知恵者の兜,Helmet of wisdom's,"A strange helm from the ancient land of Zena, birthplace of the curious dealer Domhnall.\nThe two horns are believed to symbolize wisdom.",珍品売りのドーナルの故郷 古い国ゼナに伝わる奇妙な兜\n二本の角は知恵の証であるとされる,Strange helmet \ n two of the corner transmitted to the hometown old country Xena of Donaru of curiosities selling is to be the wisdom of testimony,,,
111000,Armour,Body,Adventurer,Armor of the Glorious,名誉者の鎧,Armor of honor's,"Strange armor from the ancient land of Zena, birthplace of the curious dealer Domhnall.\nThe many medals are believed to symbolize glory.",珍品売りのドーナルの故郷 古い国ゼナに伝わる奇妙な鎧\nたくさんのメダルは名誉の証であるとされる,Strange armor \ n a lot of medals transmitted to the curiosities selling Donaru hometown old country Xena is to be the honor of testimony,,,
112000,Armour,Hands,Adventurer,Gauntlets of the Vanquisher,獲得者の篭手,Winner of the gauntlet,"Strange gauntlets from the ancient land of Zena, birthplace of the curious dealer Domhnall.\nThe gold bracelets symbolize a vanquisher.",珍品売りのドーナルの故郷 古い国ゼナに伝わる奇妙な篭手\n金の腕輪は獲得者の証であるとされる,Curiosities selling Donaru hometown old country Xena to propagate strange gauntlet \ n gold bracelet of is to be a testimony of the winner,,,
113000,Armour,Legs,Adventurer,Boots of the Explorer,探索者の長靴,Seekers of boots,"Strange boots from the ancient land of Zena, birthplace of the curious dealer Domhnall.\nThe inlaid silver rings symbolize an explorer.",珍品売りのドーナルの故郷 古い国ゼナに伝わる奇妙な長靴\n埋め込まれた銀の輪は 探索者の証であるとされる,Strange boots \ n embedded ring of silver has been transmitted to the curiosities selling Donaru hometown old country Xena is to be a testimony of the investigator,,,
120000,Armour,Head,Stone,Stone Helm,石の兜,Helmet of stone,"Moss-covered helm of the Stone Knight, defender of the Darkroot Garden.\nThe Stone Knight is a product of ancient magic, and although this helm is also imbued with magic, it is incredibly heavy.",黒い森の庭の守護者 石の騎士の苔むした兜\n石の騎士は古い魔法の産物であり この兜もまた、魔法の力を帯びているが すさまじい重さがある,"Black Forest garden guardian stone knight of the helmet \ n stone mossy Knight is a product of the old magic this helmet also, although tinged with magic power there is a tremendous weight",,,
121000,Armour,Body,Stone,Stone Armor,石の鎧,Armor of stone,"Moss-covered armor of the Stone Knight, defender of the Darkroot Garden.\nThe Stone Knight is a product of ancient magic, and although this armor is also imbued with magic, it is incredibly heavy.",黒い森の庭の守護者 石の騎士の苔むした鎧\n石の騎士は古い魔法の産物であり この鎧もまた、魔法の力を帯びているが すさまじい重さがある,"Black Forest garden guardian stone knight armor \ n stone mossy Knight is a product of the old magic this armor also, although tinged with magic power there is a tremendous weight",,,
122000,Armour,Hands,Stone,Stone Gauntlets,石の手甲,Hand-back of stone,"Moss-covered gauntlets of the Stone Knight, defender of the Darkroot Garden.\nThe Stone Knight is a product of ancient magic, and although these gauntlets are also imbued with magic, they are incredibly heavy.",黒い森の庭の守護者 石の騎士の苔むした手甲\n石の騎士は古い魔法の産物であり この手甲もまた、魔法の力を帯びているが すさまじい重さがある,"Black Forest garden hand-back \ n stone knight mossy Knight of the guardian stone is a product of the old magic this hand-back also, but tinged with magic power there is a tremendous weight",,,
