Name	Type	Connection	Named Entity	Entity Type
Gauntlets of the Channelers	Armour	connected to	specimens.\nThe	NORP
Waistcloth of the Channelers	Armour	connected to	Waistcloth	PERSON
Waistcloth of the Channelers	Armour	connected to	Channelers	GPE
Waistcloth of the Channelers	Armour	connected to	Seath the Scaleless	FAC
Waistcloth of the Channelers	Armour	connected to	"\snatchers,\""as"	DATE
Waistcloth of the Channelers	Armour	connected to	specimens.\nThe	NORP
Helm of Favor	Armour	connected to	Helm	PERSON
Helm of Favor	Armour	connected to	Fina	ORG
Embraced Armor of Favor	Armour	connected to	Fina	ORG
Embraced Armor of Favor	Armour	connected to	love.\nThe	ORG
Gauntlets of Favor	Armour	connected to	Fina	ORG
Leggings of Favor	Armour	connected to	Fina	ORG
Helm of the Wise	Armour	connected to	Zena	ORG
Helm of the Wise	Armour	connected to	two	CARDINAL
Armor of the Glorious	Armour	connected to	Zena	ORG
Armor of the Glorious	Armour	connected to	Domhnall.\nThe	ORG
Gauntlets of the Vanquisher	Armour	connected to	Zena	ORG
Boots of the Explorer	Armour	connected to	Zena	ORG
Stone Helm	Armour	connected to	the Stone Knight	ORG
Stone Helm	Armour	connected to	Darkroot Garden.\nThe Stone Knight	WORK_OF_ART
Stone Armor	Armour	connected to	the Stone Knight	ORG
Stone Armor	Armour	connected to	Darkroot Garden.\nThe Stone Knight	WORK_OF_ART
Stone Gauntlets	Armour	connected to	the Stone Knight	ORG
Stone Gauntlets	Armour	connected to	Darkroot Garden.\nThe Stone Knight	WORK_OF_ART
Stone Leggings	Armour	connected to	the Stone Knight	ORG
Stone Leggings	Armour	connected to	Darkroot Garden.\nThe Stone Knight	WORK_OF_ART
Crystalline Helm	Armour	connected to	Helm	PERSON
Crystalline Leggings	Armour	connected to	Leggings	ORG
Mask of the Sealer	Armour	connected to	New Londo	GPE
Mask of the Sealer	Armour	connected to	Darkwraiths	PERSON
Mask of the Sealer	Armour	connected to	Four	CARDINAL
Mask of the Sealer	Armour	connected to	Dark.\nIt	PERSON
Mask of the Sealer	Armour	connected to	two	CARDINAL
Mask of the Sealer	Armour	connected to	three	CARDINAL
Mask of the Sealer	Armour	connected to	New Londo	GPE
Crimson Robe	Armour	connected to	Robe	PERSON
Crimson Robe	Armour	connected to	New Londo	GPE
Crimson Robe	Armour	connected to	Darkwraiths	PERSON
Crimson Robe	Armour	connected to	Four	CARDINAL
Crimson Robe	Armour	connected to	Dark.\nThe Sealers	ORG
Crimson Gloves	Armour	connected to	New Londo	GPE
Crimson Gloves	Armour	connected to	Darkwraiths	PERSON
Crimson Gloves	Armour	connected to	Four	CARDINAL
Crimson Gloves	Armour	connected to	Dark.\nThe Sealers	ORG
Crimson Waistcloth	Armour	connected to	Waistcloth	PERSON
Crimson Waistcloth	Armour	connected to	New Londo	GPE
Crimson Waistcloth	Armour	connected to	Darkwraiths	PERSON
Crimson Waistcloth	Armour	connected to	Four	CARDINAL
Crimson Waistcloth	Armour	connected to	Dark.\nThe Sealers	ORG
Mask of Velka	Armour	connected to	Velka	ORG
Black Cleric Robe	Armour	connected to	Robe	PERSON
Black Cleric Robe	Armour	connected to	Velka	ORG
Black Cleric Robe	Armour	connected to	Velka	ORG
Black Manchette	Armour	connected to	Manchette	PERSON
Black Manchette	Armour	connected to	Velka	ORG
Black Manchette	Armour	connected to	Velka	ORG
Black Tights	Armour	connected to	Velka	ORG
Black Tights	Armour	connected to	Velka	ORG
Iron Helm	Armour	connected to	Helm	PERSON
Armor of the Sun	Armour	connected to	Armor of Solaire	ORG
Armor of the Sun	Armour	connected to	Sun	ORG
Armor of the Sun	Armour	connected to	Solaire himself.\nSolaire's	PERSON
Iron Leggings	Armour	connected to	Leggings of Solaire	ORG
Leather Gauntlets	Armour	connected to	One	CARDINAL
Cleric Helm	Armour	connected to	Helm	PERSON
Cleric Helm	Armour	connected to	the Way of White	ORG
Cleric Armor	Armour	connected to	the Way of White	ORG
Cleric Gauntlets	Armour	connected to	the Way of White	ORG
Cleric Leggings	Armour	connected to	Leggings	ORG
Cleric Leggings	Armour	connected to	the Way of White	ORG
Helm of Thorns	Armour	connected to	Helm	PERSON
Helm of Thorns	Armour	connected to	Kirk	ORG
Helm of Thorns	Armour	connected to	Knight of Thorns	WORK_OF_ART
Helm of Thorns	Armour	connected to	Darkwraiths	PERSON
Helm of Thorns	Armour	connected to	surface.\nIt	ORG
Helm of Thorns	Armour	connected to	Kirk	ORG
Armor of Thorns	Armour	connected to	Knight of Thorns	WORK_OF_ART
Armor of Thorns	Armour	connected to	Darkwraiths	PERSON
Armor of Thorns	Armour	connected to	surface.\nIt	ORG
Armor of Thorns	Armour	connected to	Kirk	ORG
Gauntlets of Thorns	Armour	connected to	Kirk	ORG
Gauntlets of Thorns	Armour	connected to	Knight of Thorns	WORK_OF_ART
Gauntlets of Thorns	Armour	connected to	Darkwraiths	PERSON
Gauntlets of Thorns	Armour	connected to	Kirk	ORG
Leggings of Thorns	Armour	connected to	Kirk	ORG
Leggings of Thorns	Armour	connected to	Knight of Thorns	WORK_OF_ART
Leggings of Thorns	Armour	connected to	Darkwraiths	PERSON
Leggings of Thorns	Armour	connected to	Kirk	ORG
Sorcerer Hat	Armour	connected to	Vinheim Dragon	FAC
Sorcerer Cloak	Armour	connected to	Cloak	PERSON
Sorcerer Cloak	Armour	connected to	Vinheim Dragon	FAC
Sorcerer Gauntlets	Armour	connected to	Vinheim Dragon	FAC
Sorcerer Boots	Armour	connected to	Vinheim Dragon	FAC
Tattered Cloth Hood	Armour	connected to	Hood	PERSON
Tattered Cloth Hood	Armour	connected to	the Great Swamp	LOC
Tattered Cloth Robe	Armour	connected to	Robe	PERSON
Tattered Cloth Robe	Armour	connected to	the Great Swamp	LOC
Tattered Cloth Manchette	Armour	connected to	Manchette	PERSON
Tattered Cloth Manchette	Armour	connected to	the Great Swamp	LOC
Pharis's Hat	Armour	connected to	Hawkeye Gough	PERSON
Pharis's Hat	Armour	connected to	one	CARDINAL
Pharis's Hat	Armour	connected to	Four	CARDINAL
Pharis's Hat	Armour	connected to	Gwyn	PERSON
Painting Guardian Hood	Armour	connected to	Hood	PERSON
Painting Guardian Hood	Armour	connected to	Anor Londo	GPE
Painting Guardian Hood	Armour	connected to	the Great Paintings of Ariamis for ages	WORK_OF_ART
Painting Guardian Robe	Armour	connected to	Robe	PERSON
Painting Guardian Robe	Armour	connected to	Anor Londo	GPE
Painting Guardian Robe	Armour	connected to	the Great Paintings of Ariamis for ages	WORK_OF_ART
Painting Guardian Gloves	Armour	connected to	Anor Londo	GPE
Painting Guardian Gloves	Armour	connected to	the Great Paintings of Ariamis for ages	WORK_OF_ART
Painting Guardian Waistcloth	Armour	connected to	Waistcloth	PERSON
Painting Guardian Waistcloth	Armour	connected to	Anor Londo	GPE
Painting Guardian Waistcloth	Armour	connected to	the Great Paintings of Ariamis for ages	WORK_OF_ART
Ornstein's Helm	Armour	connected to	Helm	PERSON
Ornstein's Helm	Armour	connected to	Ornstein	PERSON
Ornstein's Helm	Armour	connected to	Anor Londo.\nOrnstein	ORG
Ornstein's Helm	Armour	connected to	the Four Knights	ORG
Ornstein's Armor	Armour	connected to	Ornstein	PERSON
Ornstein's Armor	Armour	connected to	Anor Londo.\nOrnstein	ORG
Ornstein's Armor	Armour	connected to	the Four Knights	ORG
Ornstein's Gauntlets	Armour	connected to	Ornstein	PERSON
Ornstein's Gauntlets	Armour	connected to	Anor Londo.\nOrnstein	ORG
Ornstein's Gauntlets	Armour	connected to	the Four Knights	ORG
Ornstein's Leggings	Armour	connected to	Leggings	ORG
Ornstein's Leggings	Armour	connected to	Ornstein	PERSON
Ornstein's Leggings	Armour	connected to	Anor Londo.\nOrnstein	ORG
Ornstein's Leggings	Armour	connected to	the Four Knights	ORG
Eastern Helm	Armour	connected to	Eastern	ORG
Eastern Helm	Armour	connected to	East	LOC
Eastern Armor	Armour	connected to	Eastern	ORG
Eastern Armor	Armour	connected to	East	LOC
Eastern Gauntlets	Armour	connected to	Eastern	ORG
Eastern Gauntlets	Armour	connected to	East	LOC
Eastern Leggings	Armour	connected to	Eastern	ORG
Eastern Leggings	Armour	connected to	East	LOC
Xanthous Crown	Armour	connected to	the Xanthous King Jeremiah	PERSON
Xanthous Overcoat	Armour	connected to	the Xanthous King Jeremiah	PERSON
Xanthous Gloves	Armour	connected to	the Xanthous King Jeremiah	PERSON
Xanthous Gloves	Armour	connected to	from.\nThey	PERSON
Xanthous Waistcloth	Armour	connected to	the Xanthous King Jeremiah	PERSON
Priest's Hat	Armour	connected to	Thorolund.\nIt	PERSON
Priest's Hat	Armour	connected to	Lordran	LOC
Holy Robe	Armour	connected to	Robe	PERSON
Holy Robe	Armour	connected to	the Way of White	PRODUCT
Holy Trousers	Armour	connected to	the Way of White	PRODUCT
Black Knight Helm	Armour	connected to	Helm	PERSON
Black Knight Helm	Armour	connected to	the Black Knights	ORG
Black Knight Helm	Armour	connected to	Gwyn	PERSON
Black Knight Helm	Armour	connected to	Fire	ORG
Black Knight Armor	Armour	connected to	Gwyn	PERSON
Black Knight Armor	Armour	connected to	Fire	ORG
Black Knight Gauntlets	Armour	connected to	the Black Knights	ORG
Black Knight Gauntlets	Armour	connected to	Gwyn	PERSON
Black Knight Gauntlets	Armour	connected to	Fire	ORG
Black Knight Leggings	Armour	connected to	Leggings of the Black Knights	ORG
Black Knight Leggings	Armour	connected to	Gwyn	PERSON
Crown of Dusk	Armour	connected to	Dusk, Princess of Oolacile	WORK_OF_ART
Antiquated Dress	Armour	connected to	Oolacile	FAC
Antiquated Dress	Armour	connected to	power.\nOne	PRODUCT
Antiquated Gloves	Armour	connected to	Oolacile	FAC
Antiquated Gloves	Armour	connected to	power.\nOne	PRODUCT
Antiquated Skirt	Armour	connected to	Oolacile	FAC
Antiquated Skirt	Armour	connected to	power.\nOne	PRODUCT
Witch Hat	Armour	connected to	Dragon School	ORG
Witch Hat	Armour	connected to	Beatrice	ORG
Witch Hat	Armour	connected to	Abyss	FAC
Witch Cloak	Armour	connected to	Cloak	PERSON
Witch Cloak	Armour	connected to	Dragon School	ORG
Witch Cloak	Armour	connected to	Beatrice	ORG
Witch Cloak	Armour	connected to	Abyss	FAC
Witch Gloves	Armour	connected to	Dragon School	ORG
Witch Gloves	Armour	connected to	Beatrice	ORG
Witch Gloves	Armour	connected to	Abyss	FAC
Witch Skirt	Armour	connected to	Dragon School	ORG
Witch Skirt	Armour	connected to	Beatrice	ORG
Witch Skirt	Armour	connected to	Abyss	FAC
Elite Knight Helm	Armour	connected to	Helm	PERSON
Elite Knight Helm	Armour	connected to	Astora.\nAlthough	NORP
Elite Knight Helm	Armour	connected to	the Undead Asylum	FAC
Elite Knight Helm	Armour	connected to	Hollow	ORG
Elite Knight Armor	Armour	connected to	Astora	PERSON
Elite Knight Armor	Armour	connected to	the Undead Asylum	FAC
Elite Knight Armor	Armour	connected to	Hollow	ORG
Elite Knight Gauntlets	Armour	connected to	Astora.\nAlthough	NORP
Elite Knight Gauntlets	Armour	connected to	the Undead Asylum	FAC
Elite Knight Gauntlets	Armour	connected to	Hollow	ORG
Elite Knight Leggings	Armour	connected to	Leggings	ORG
Elite Knight Leggings	Armour	connected to	Astora.\nAlthough	NORP
Elite Knight Leggings	Armour	connected to	the Undead Asylum	FAC
Elite Knight Leggings	Armour	connected to	Hollow	ORG
Wanderer Hood	Armour	connected to	Hood	PERSON
Wanderer Coat	Armour	connected to	quilting.\nBattle	ORG
Wanderer Coat	Armour	connected to	one	CARDINAL
Wanderer Manchette	Armour	connected to	Manchette	ORG
Mage Smith Hat	Armour	connected to	Vinheim Dragon School.\nMage	FAC
Mage Smith Coat	Armour	connected to	Vinheim Dragon School.\nMage	FAC
Mage Smith Gauntlets	Armour	connected to	Vinheim Dragon School.\nMage	FAC
Mage Smith Boots	Armour	connected to	Vinheim Dragon School.\nMage	FAC
Big Hat	Armour	connected to	Gigantic	ORG
Big Hat	Armour	connected to	Logan	PERSON
Big Hat	Armour	connected to	Logan	PERSON
Sage Robe	Armour	connected to	Robe	PERSON
Sage Robe	Armour	connected to	Big Hat Logan	ORG
Sage Robe	Armour	connected to	his apprentice days	DATE
Sage Robe	Armour	connected to	Dragon School	ORG
Traveling Gloves	Armour	connected to	Big Hat Logan	ORG
Traveling Boots	Armour	connected to	Big Hat Logan	ORG
Knight Helm	Armour	connected to	Helm	PERSON
Knight Leggings	Armour	connected to	Leggings	ORG
Dingy Hood	Armour	connected to	the Fire Keeper	ORG
Dingy Hood	Armour	connected to	the years	DATE
Dingy Robe	Armour	connected to	the Fire Keeper	ORG
Dingy Robe	Armour	connected to	the years	DATE
Dingy Gloves	Armour	connected to	the Fire Keeper	ORG
Dingy Gloves	Armour	connected to	the years	DATE
Blood-Stained Skirt	Armour	connected to	the Fire Keeper	ORG
Maiden Gloves	Armour	connected to	White	ORG
Silver Knight Helm	Armour	connected to	Helm	PERSON
Silver Knight Helm	Armour	connected to	the Silver Knights	ORG
Silver Knight Helm	Armour	connected to	Anor	GPE
Silver Knight Helm	Armour	connected to	Gwyn	PERSON
Silver Knight Helm	Armour	connected to	Fire	ORG
Silver Knight Helm	Armour	connected to	two	CARDINAL
Silver Knight Helm	Armour	connected to	The Silver Knights	ORG
Silver Knight Armor	Armour	connected to	Anor	GPE
Silver Knight Armor	Armour	connected to	Gwyn	PERSON
Silver Knight Armor	Armour	connected to	Fire	ORG
Silver Knight Armor	Armour	connected to	two	CARDINAL
Silver Knight Armor	Armour	connected to	The Silver Knights	ORG
Silver Knight Gauntlets	Armour	connected to	the Silver Knights	ORG
Silver Knight Gauntlets	Armour	connected to	Anor	GPE
Silver Knight Gauntlets	Armour	connected to	Gwyn	PERSON
Silver Knight Gauntlets	Armour	connected to	Fire	ORG
Silver Knight Gauntlets	Armour	connected to	two	CARDINAL
Silver Knight Gauntlets	Armour	connected to	The Silver Knights	ORG
Silver Knight Leggings	Armour	connected to	Leggings of the Silver Knights	ORG
Silver Knight Leggings	Armour	connected to	Anor	GPE
Silver Knight Leggings	Armour	connected to	Gwyn	PERSON
Silver Knight Leggings	Armour	connected to	Fire	ORG
Silver Knight Leggings	Armour	connected to	two	CARDINAL
Silver Knight Leggings	Armour	connected to	The Silver Knights	ORG
Havel's Helm	Armour	connected to	Helm	PERSON
Havel's Helm	Armour	connected to	Havel	PERSON
Havel's Armor	Armour	connected to	Havel	PERSON
Havel's Gauntlets	Armour	connected to	Havel	PERSON
Havel's Leggings	Armour	connected to	Leggings	ORG
Havel's Leggings	Armour	connected to	Havel	PERSON
Brass Helm	Armour	connected to	Helm	PERSON
Brass Helm	Armour	connected to	the Darkmoon Knightess	ORG
Brass Helm	Armour	connected to	Fire Keeper	ORG
Brass Helm	Armour	connected to	Darkmoon	ORG
Brass Armor	Armour	connected to	Fire Keeper	ORG
Brass Armor	Armour	connected to	Darkmoon	ORG
Brass Gauntlets	Armour	connected to	the Darkmoon Knightess	ORG
Brass Gauntlets	Armour	connected to	Fire Keeper	ORG
Brass Gauntlets	Armour	connected to	Darkmoon	ORG
Brass Leggings	Armour	connected to	Leggings of the Darkmoon Knightess	ORG
Brass Leggings	Armour	connected to	Fire Keeper	ORG
Brass Leggings	Armour	connected to	Darkmoon	ORG
Gold-Hemmed Black Hood	Armour	connected to	Quelana	PERSON
Gold-Hemmed Black Hood	Armour	connected to	Izalith	PERSON
Gold-Hemmed Black Hood	Armour	connected to	Daughter of Chaos.\nShe	ORG
Gold-Hemmed Black Cloak	Armour	connected to	Quelana	PERSON
Gold-Hemmed Black Cloak	Armour	connected to	Izalith	PERSON
Gold-Hemmed Black Cloak	Armour	connected to	Daughter of Chaos.\nShe	ORG
Gold-Hemmed Black Gloves	Armour	connected to	Quelana	PERSON
Gold-Hemmed Black Gloves	Armour	connected to	Izalith	PERSON
Gold-Hemmed Black Gloves	Armour	connected to	Daughter of Chaos.\nShe	ORG
Gold-Hemmed Black Skirt	Armour	connected to	Quelana	PERSON
Gold-Hemmed Black Skirt	Armour	connected to	Izalith	PERSON
Gold-Hemmed Black Skirt	Armour	connected to	one	CARDINAL
Gold-Hemmed Black Skirt	Armour	connected to	the Daughters of Chaos.\nShe	WORK_OF_ART
Golem Helm	Armour	connected to	Sen's Fortress	ORG
Golem Helm	Armour	connected to	Anor	ORG
Golem Armor	Armour	connected to	Sen's Fortress	ORG
Golem Armor	Armour	connected to	Anor	ORG
Golem Gauntlets	Armour	connected to	Sen's Fortress	ORG
Golem Gauntlets	Armour	connected to	Anor	ORG
Golem Leggings	Armour	connected to	Sen's Fortress	ORG
Golem Leggings	Armour	connected to	Anor	ORG
Hollow Soldier Helm	Armour	connected to	Helm	PERSON
Hollow Soldier Helm	Armour	connected to	sturdy.\nIt	ORG
Hollow Soldier Waistcloth	Armour	connected to	Waistcloth	PERSON
Steel Helm	Armour	connected to	Helm	PERSON
Steel Helm	Armour	connected to	Knights of Berenike	ORG
Steel Helm	Armour	connected to	Hollow	ORG
Steel Armor	Armour	connected to	Knights of Berenike	ORG
Steel Armor	Armour	connected to	Hollow	ORG
Steel Gauntlets	Armour	connected to	the Knights of Berenike	ORG
Steel Gauntlets	Armour	connected to	Knights of Berenike	ORG
Steel Gauntlets	Armour	connected to	Hollow	ORG
Steel Leggings	Armour	connected to	Leggings	ORG
Steel Leggings	Armour	connected to	Knights of Berenike	ORG
Steel Leggings	Armour	connected to	Hollow	ORG
Hollow Thief's Hood	Armour	connected to	Hood	PERSON
Balder Helm	Armour	connected to	Helm	PERSON
Balder Helm	Armour	connected to	Balder	PERSON
Balder Armor	Armour	connected to	Balder	PERSON
Balder Gauntlets	Armour	connected to	Balder	PERSON
Balder Leggings	Armour	connected to	Leggings	ORG
Balder Leggings	Armour	connected to	Balder	PERSON
Hollow Warrior Helm	Armour	connected to	Helm	PERSON
Hollow Warrior Helm	Armour	connected to	Hollow	ORG
Hollow Warrior Helm	Armour	connected to	out.\nIt	DATE
Hollow Warrior Armor	Armour	connected to	Hollow	ORG
Warrior's Gloves	Armour	connected to	Warrior	ORG
Hollow Warrior Waistcloth	Armour	connected to	Waistcloth	PERSON
Hollow Warrior Waistcloth	Armour	connected to	Hollow	ORG
Giant Helm	Armour	connected to	Helm	PERSON
Giant Helm	Armour	connected to	Anor	GPE
Giant Armor	Armour	connected to	Anor	GPE
Giant Gauntlets	Armour	connected to	Anor	GPE
Giant Leggings	Armour	connected to	Leggings	ORG
Giant Leggings	Armour	connected to	Anor	GPE
Crown of the Dark Sun	Armour	connected to	Crown	PRODUCT
Crown of the Dark Sun	Armour	connected to	Anor	GPE
Crown of the Dark Sun	Armour	connected to	Darkmoon	ORG
Crown of the Dark Sun	Armour	connected to	Gwyndolin	PERSON
Moonlight Robe	Armour	connected to	Robe	PERSON
Moonlight Robe	Armour	connected to	Anor	GPE
Moonlight Robe	Armour	connected to	Gwyndolin	GPE
Moonlight Gloves	Armour	connected to	Anor	GPE
Moonlight Gloves	Armour	connected to	Gwyndolin	GPE
Moonlight Waistcloth	Armour	connected to	Waistcloth	PERSON
Moonlight Waistcloth	Armour	connected to	Anor	GPE
Moonlight Waistcloth	Armour	connected to	Gwyndolin	GPE
Crown of the Great Lord	Armour	connected to	Crown of Gwyn	ORG
Crown of the Great Lord	Armour	connected to	First	ORDINAL
Crown of the Great Lord	Armour	connected to	Gwyn	PERSON
Robe of the Great Lord	Armour	connected to	Robe of Gwyn	ORG
Robe of the Great Lord	Armour	connected to	First	ORDINAL
Robe of the Great Lord	Armour	connected to	Gwyn	PERSON
Bracelet of the Great Lord	Armour	connected to	Gwyn	PERSON
Bracelet of the Great Lord	Armour	connected to	First	ORDINAL
Bracelet of the Great Lord	Armour	connected to	Gwyn	PERSON
Anklet of the Great Lord	Armour	connected to	Gwyn	PERSON
Anklet of the Great Lord	Armour	connected to	First	ORDINAL
Anklet of the Great Lord	Armour	connected to	Gwyn	PERSON
Sack	Armour	connected to	Two	CARDINAL
Sack	Armour	connected to	out.\nIt	DATE
Royal Helm	Armour	connected to	Helm	PERSON
Royal Helm	Armour	connected to	Vamos	PERSON
Royal Helm	Armour	connected to	Catacombs	PRODUCT
Royal Helm	Armour	connected to	Vamos	PERSON
Mask of the Father	Armour	connected to	One	CARDINAL
Mask of the Father	Armour	connected to	three	CARDINAL
Mask of the Father	Armour	connected to	Pinwheel	ORG
Mask of the Father	Armour	connected to	Gravelord	PERSON
Mask of the Mother	Armour	connected to	One	CARDINAL
Mask of the Mother	Armour	connected to	three	CARDINAL
Mask of the Mother	Armour	connected to	Pinwheel	ORG
Mask of the Mother	Armour	connected to	Gravelord	PERSON
Mask of the Mother	Armour	connected to	HP	ORG
Mask of the Child	Armour	connected to	One	CARDINAL
Mask of the Child	Armour	connected to	three	CARDINAL
Mask of the Child	Armour	connected to	Pinwheel	ORG
Mask of the Child	Armour	connected to	Gravelord	PERSON
Fang Boar Helm	Armour	connected to	Fang Boar	PERSON
Gargoyle Helm	Armour	connected to	Helm	PERSON
Black Sorcerer Hat	Armour	connected to	Vinheim Dragon	PERSON
Black Sorcerer Cloak	Armour	connected to	Cloak	PERSON
Black Sorcerer Cloak	Armour	connected to	Vinheim Dragon	PERSON
Black Sorcerer Gauntlets	Armour	connected to	Vinheim Dragon	PERSON
Black Sorcerer Boots	Armour	connected to	Vinheim Dragon	PERSON
Elite Cleric Helm	Armour	connected to	Helm	PERSON
Elite Cleric Helm	Armour	connected to	the Way of White	ORG
Elite Cleric Helm	Armour	connected to	battle.\nAmong	GPE
Elite Cleric Armor	Armour	connected to	the Way of White	ORG
Elite Cleric Armor	Armour	connected to	battle.\nAmong	GPE
Elite Cleric Gauntlets	Armour	connected to	the Way of White	ORG
Elite Cleric Gauntlets	Armour	connected to	battle.\nAmong	GPE
Elite Cleric Leggings	Armour	connected to	Leggings	ORG
Elite Cleric Leggings	Armour	connected to	the Way of White	ORG
Elite Cleric Leggings	Armour	connected to	battle.\nAmong	GPE
Helm of Artorias	Armour	connected to	Helm	PERSON
Helm of Artorias	Armour	connected to	Artorias the Abysswalker	ORG
Helm of Artorias	Armour	connected to	one	CARDINAL
Helm of Artorias	Armour	connected to	Gwyn	ORG
