ItemType	Name (EN)	Description (EN)
Armour	Brigand Gauntlets	Gauntlets worn by the brigands who raid mountain hamlets and attack travelers.\nThe addition of metal over a base of cloth and leather offers good mobility and defense.
Armour	Brigand Trousers	Trousers worn by the brigands who raid mountain hamlets and attack travelers.\nThe addition of metal over a base of cloth and leather offers good mobility and defense.
Armour	Shadow Mask	"Black cloth mask worn by spooks from an Eastern land. Designed so as not to hinder their unique form of martial arts.\nWhile it sacrifices defense for the sake of greater mobility, it does offer resistance to bleeding and poison among other things, perhaps due to the nature of their duties."
Armour	Shadow Garb	"Black cloth garb worn by spooks from an Eastern land. Designed so as not to hinder their unique form of martial arts.\nWhile it sacrifices defense for the sake of greater mobility, it does offer resistance to bleeding and poison among other things, perhaps due to the nature of espionage."
Armour	Shadow Gauntlets	"Black cloth gauntlets worn by spooks from an Eastern land. Designed so as not to hinder their unique form of martial arts.\nWhile they sacrifice defense for the sake of greater mobility, they do offer resistance to bleeding and poison among other things, perhaps due to the nature of espionage."
Armour	Shadow Leggings	"Black cloth leggings worn by spooks from an Eastern land. Designed so as not to hinder their unique form of martial arts.\nWhile they sacrifice defense for the sake of greater mobility, they do offer resistance to bleeding and poison among other things, perhaps due to the nature of espionage."
Armour	Black Iron Helm	"Helm of Black Iron Tarkus, a knight known for his great strength.\nBuilt of a special black iron and providing strong defense, notably against fire, but so terribly heavy to be unwieldy to all but Tarkus himself."
Armour	Black Iron Armor	"Armor of Black Iron Tarkus, a knight known for his great strength.\nBuilt of a special black iron and providing strong defense, notably against fire, but so terribly heavy to be unwieldy to all but Tarkus himself."
Armour	Black Iron Gauntlets	"Gauntlets of Black Iron Tarkus, a knight known for his great strength.\nBuilt of a special black iron and providing strong defense, notably against fire, but so terribly heavy to be unwieldy to all but Tarkus himself."
Armour	Black Iron Leggings	"Leggings of Black Iron Tarkus, a knight known for his great strength.\nBuilt of a special black iron and providing strong defense, notably against fire, but so terribly heavy to be unwieldy to all but Tarkus himself."
Armour	Smough's Helm	"Helm of Smough, the Executioner, protector of the cathedral at the forsaken city of Anor Londo. It offers extremely high defense and can be worn by humans, but not without great difficulty."
Armour	Smough's Armor	"Armor of Smough, the Executioner, protector of the cathedral at the forsaken city of Anor Londo. It offers extremely high defense and can be worn by humans, but not without great difficulty."
Armour	Smough's Gauntlets	"Gauntlets of Smough, the Executioner, protector of the cathedral at the forsaken city of Anor Londo. It offers extremely high defense and can be worn by humans, but not without great difficulty."
Armour	Smough's Leggings	"Leggings of Smough, the Executioner, protector of the cathedral at the forsaken city of Anor Londo. It offers extremely high defense and can be worn by humans, but not without great difficulty."
Armour	Six-Eyed Helm of the Channelers	"Helm of the Channelers, sorcerers that serve Seath the Scaleless. The six eyes arranged in two vertical columns compensate for Seath's lack of sight.\nThe heaviest of protective gear for sorcerers, and imbued with magic."
Armour	Robe of the Channelers	"Robe of the Channelers, sorcerers that serve Seath the Scaleless. Even after the onset of Seath's madness, the \snatchers,\""as they were often called, ventured to far lands to find suitable human specimens.\nThe heaviest of protective gear for sorcerers, and imbued with magic."""
Armour	Gauntlets of the Channelers	"Gauntlets of the Channelers, sorcerers that serve Seath the Scaleless. Even after the onset of Seath's madness, the \snatchers,\""as they were often called, ventured to far lands to find suitable human specimens.\nThe heaviest of protective gear for sorcerers, and imbued with magic."""
Armour	Waistcloth of the Channelers	"Waistcloth of the Channelers, sorcerers that serve Seath the Scaleless. Even after the onset of Seath's madness, the \snatchers,\""as they were often called, ventured to far lands to find suitable human specimens.\nThe heaviest of protective gear for sorcerers, and imbued with magic."""
Armour	Helm of Favor	"Helm of Lautrec the Embraced, representing the goddess Fina's love.\nDuring his solitude, he forsook everything, for he believed in the goddess's love for him."
Armour	Embraced Armor of Favor	"Armor of Lautrec the Embraced, representing the goddess Fina's love.\nThe goddess's arms wrap around it, as if to embrace the wearer."
Armour	Gauntlets of Favor	"Gauntlets of Lautrec the Embraced, representing the goddess Fina's love.\nDuring his solitude, he forsook everything, for he believed in the goddess's love for him."
Armour	Leggings of Favor	"Leggings of Lautrec the Embraced, representing the goddess Fina's love.\nDuring his solitude, he forsook everything, for he believed in the goddess's love for him."
Armour	Helm of the Wise	"A strange helm from the ancient land of Zena, birthplace of the curious dealer Domhnall.\nThe two horns are believed to symbolize wisdom."
Armour	Armor of the Glorious	"Strange armor from the ancient land of Zena, birthplace of the curious dealer Domhnall.\nThe many medals are believed to symbolize glory."
Armour	Gauntlets of the Vanquisher	"Strange gauntlets from the ancient land of Zena, birthplace of the curious dealer Domhnall.\nThe gold bracelets symbolize a vanquisher."
Armour	Boots of the Explorer	"Strange boots from the ancient land of Zena, birthplace of the curious dealer Domhnall.\nThe inlaid silver rings symbolize an explorer."
Armour	Stone Helm	"Moss-covered helm of the Stone Knight, defender of the Darkroot Garden.\nThe Stone Knight is a product of ancient magic, and although this helm is also imbued with magic, it is incredibly heavy."
Armour	Stone Armor	"Moss-covered armor of the Stone Knight, defender of the Darkroot Garden.\nThe Stone Knight is a product of ancient magic, and although this armor is also imbued with magic, it is incredibly heavy."
Armour	Stone Gauntlets	"Moss-covered gauntlets of the Stone Knight, defender of the Darkroot Garden.\nThe Stone Knight is a product of ancient magic, and although these gauntlets are also imbued with magic, they are incredibly heavy."
Armour	Stone Leggings	"Moss-covered leggings of the Stone Knight, defender of the Darkroot Garden.\nThe Stone Knight is a product of ancient magic, and although these leggings are also imbued with magic, they are incredible heavy."
Armour	Crystalline Helm	"Helm worn by a Hollowed knight, who was partially crystallized.\nThe crystal provides powerful defense, but it cannot be used for long because it is easily broken and cannot be repaired."
Armour	Crystalline Armor	"Armor worn by a Hollowed knight, who was partially crystallized.\nThe crystal provides powerful defense, but it cannot be used for long because it is easily broken and cannot be repaired."
Armour	Crystalline Gauntlets	"Gauntlets worn by a Hollowed knight, who was partially crystallized.\nThe crystal provides strong defense, but they cannot be used for long because they are easily broken and cannot be repaired."
Armour	Crystalline Leggings	"Leggings worn by a Hollowed knight, who was partially crystallized.\nThe crystal power provides good defense, but they cannot be used for long because they are easily broken and cannot be repaired."
Armour	Mask of the Sealer	"Mask of the sorcerers who flooded New Londo to seal away the Darkwraiths, and the Four Kings who descended into Dark.\nIt symbolizes their resolve to keep the seal shut forever and their atonement for all who were sacrificed, but two of the three forsook New Londo upon tiring of their duty."
Armour	Crimson Robe	"Robe of the sorcerers who flooded New Londo to seal away the Darkwraiths, and the Four Kings who descended into Dark.\nThe Sealers were once known as healers, and the bright crimson was a symbol of that."
Armour	Crimson Gloves	"Gloves of the sorcerers who flooded New Londo to seal away the Darkwraiths, and the Four Kings who descended into Dark.\nThe Sealers were once known as healers, and the bright crimson was a symbol of that."
Armour	Crimson Waistcloth	"Waistcloth of the sorcerers who flooded New Londo to seal away the Darkwraiths, and the Four Kings who descended into Dark.\nThe Sealers were once known as healers, and the bright crimson was a symbol of that."
Armour	Mask of Velka	"Mask worn by pardoners serving Velka, the Goddess of Sin.\nThe pardoners listen to the confessions of sinners, urging reflection and salvation. Their masks symbolize separation from worldly desires."
Armour	Black Cleric Robe	"Robe worn by pardoners serving Velka, the Goddess of Sin.\nThe pardoners' attire is uniformly black in color and said to be imbued with Velka's mystical power, which provides resistance against all manner of magic."
Armour	Black Manchette	"Manchette worn by pardoners serving Velka, the Goddess of Sin.\nThe pardoners' attire is uniformly black in color and said to be imbued with Velka's mystical power, which provides resistance against all manner of magic."
Armour	Black Tights	"Tights worn by pardoners serving Velka, the Goddess of Sin.\nThe pardoners' attire is uniformly black in color and said to be imbued with Velka's mystical power, which provides resistance against all manner of magic."
Armour	Iron Helm	"Helm of Solaire of Astora, Knight of Sunlight. Of high quality, but lacking any particular powers.\nSolaire's incredible prowess must have come from rigorous training alone, for his equipment exhibits no special traits."
Armour	Armor of the Sun	"Armor of Solaire of Astora, Knight of Sunlight. The large holy symbol of the Sun, while powerless, was painted by Solaire himself.\nSolaire's incredible prowess must have come from rigorous training alone, for his equipment exhibits no special traits."
Armour	Iron Bracelet	"Bracelets of Solaire of Astora, Knight of Sunlight. Of high quality, but lacking any particular powers.\nSolaire's incredible prowess must have come from rigorous training alone, for his equipment exhibits no special traits."
Armour	Iron Leggings	"Leggings of Solaire of Astora, Knight of Sunlight. Of high quality, but lacking any particular powers.\nSolaire's incredible prowess must have come from rigorous training alone, for his equipment exhibits no special traits."
Armour	Chain Helm	"A chainmail helm of thin interlinking rings of steel. It is common throughout the human world since it can be easily produced, is not too heavy, and offers good defense.\nKnights may favor flashy armor, but for warriors on the battlefield, anything is fine as long as it keeps them alive."
Armour	Chain Armor	"Chainmail armor of thin interlinking rings of steel. It is common throughout the human world since it can be easily produced, is not too heavy, and offers good defense.\nKnights may favor flashy armor, but for warriors on the battlefield, anything is fine as long as it keeps them alive."
Armour	Leather Gauntlets	Gauntlets made of soft leather. One of the more common kinds of protective gear.
Armour	Chain Leggings	"Chainmail leggings of thin interlinking rings of steel. It is common throughout the human world since it can be easily produced, is not too heavy, and offers good defense.\nKnights may favor flashy armor, but for warriors on the battlefield, anything is fine as long as it keeps them alive."
Armour	Cleric Helm	"Helm worn by the warrior clerics of the Way of White, who are famous for being unyielding in battle.\nIt is rather substantial in size and weight, making its wearer look even bigger than he actually is."
Armour	Cleric Armor	"Armor worn by the warrior clerics of the Way of White, who are famous for being unyielding in battle.\nIt is rather substantial in size and weight, making its wearer look even bigger than he actually is."
Armour	Cleric Gauntlets	"Gauntlets worn by the warrior clerics of the Way of White, who are famous for being unyielding in battle.\nThey are rather substantial in size and weight, making its wearer look even bigger than he actually is."
Armour	Cleric Leggings	"Leggings worn by the warrior clerics of the Way of White, who are famous for being unyielding in battle.\nThey are rather substantial in size and weight, making its wearer look even bigger than he actually is."
Armour	Sunlight Maggot	"A loathsome parasite that inhabits Lost Izalith. It is completely immobile, yet still lives.\nWhen worn on the head, it emanates blinding light, which is why it is known as a Sunlight Maggot."
Armour	Helm of Thorns	"Helm of Kirk, Knight of Thorns and notorious member of the Darkwraiths. A dense patch of thorns grows from its surface.\nIt is a fitting item for the murderous Kirk, for by simply wearing it and rolling, one can damage enemies."
Armour	Armor of Thorns	"Armor of Kirk, Knight of Thorns and notorious member of the Darkwraiths. A dense patch of thorns grows from its surface.\nIt is a fitting item for the murderous Kirk, for by simply wearing it and rolling, one can damage enemies."
Armour	Gauntlets of Thorns	"Gauntlets of Kirk, Knight of Thorns and notorious member of the Darkwraiths. A dense patch of thorns grows from their surface.\nThey are fitting items for the murderous Kirk, for by simply wearing them and rolling, one can damage enemies."
Armour	Leggings of Thorns	"Leggings of Kirk, Knight of Thorns and notorious member of the Darkwraiths. A dense patch of thorns grows from their surface.\nThey are fitting items for the murderous Kirk, for by simply wearing them and rolling, one can damage enemies."
Armour	Standard Helm	"A sturdy helm made of iron. Very common type of protective gear, it provides a sound level of defense.\nIt is wise to wear a sturdy form of head protection against arrows and other physical threats."
Armour	Hard Leather Armor	"Armor made of thick leather. Very common type of protective gear, it provides a sound level of defense."
Armour	Hard Leather Gauntlets	"Gauntlets made of thick leather. Very common type of protective gear, they provide a sound level of defense."
Armour	Hard Leather Boots	"Boots made of thick leather. Very common type of protective gear, they provide a sound level of defense."
Armour	Sorcerer Hat	Hat worn by proper sorcerers who studied at Vinheim Dragon School.\nThe majority take pride in having studied at the academy and look down on breaking the formal dress code established for sorcerers.
Armour	Sorcerer Cloak	Cloak worn by proper sorcerers who studied at Vinheim Dragon School.\nThe majority take pride in having studied at the academy and look down on breaking the formal dress code established for sorcerers.
Armour	Sorcerer Gauntlets	Gauntlets worn by proper sorcerers who studied at Vinheim Dragon School.\nThe majority take pride in having studied at the academy and look down on breaking the formal dress code established for sorcerers.
Armour	Sorcerer Boots	Boots worn by proper sorcerers who studied at Vinheim Dragon School.\nThe majority take pride in having studied at the academy and look down on breaking the formal dress code established for sorcerers.
Armour	Tattered Cloth Hood	"Hood worn by pyromancers of the Great Swamp. Though it appears tattered, it is actually quite strong.\nTheir attire offers substantial protection against poison, fire, and other forces of nature out in the hinterlands where they were driven."
Armour	Tattered Cloth Robe	"Robe worn by pyromancers of the Great Swamp. Though it appears tattered, it is actually quite strong.\nTheir attire offers substantial protection against poison, fire, and other forces of nature out in the hinterlands where they were driven."
Armour	Tattered Cloth Manchette	"Manchette worn by pyromancers of the Great Swamp. Though it appears tattered, it is actually quite strong.\nTheir attire offers substantial protection against poison, fire, and other forces of nature out in the hinterlands where they were driven."
Armour	Heavy Boots	"Boots made of thick leather. The boots of the pyromancers are incredibly tough, on account of the rugged grasslands and treacherous swamps they must traverse. Their soles are nearly impenetrable."
Armour	Pharis's Hat	"Broad-brimmed hat favored by the archer hero Pharis.\nPharis was an accomplished archer, and though he was human, he ranked alongside Hawkeye Gough, one of the Four Knights of Lord Gwyn. His hat is universally popular among children."
Armour	Leather Armor	Armor made of soft leather. Very common type of protective gear.
Armour	Leather Gloves	Gloves made of soft leather. Very common type of protective gear.
Armour	Leather Boots	Boots made of soft leather. Very common type of protective gear.
Armour	Painting Guardian Hood	"Hood worn by the alabaster-clothed guardians of the paintings in Anor Londo. Offers substantial protection versus magic.\nThey have guarded the Great Paintings of Ariamis for ages, passing their duty down through the generations, but the reason for doing so passed from all memory long ago."
Armour	Painting Guardian Robe	"Robe worn by the alabaster-clothed guardians of the paintings in Anor Londo. Offers substantial protection versus magic.\nThey have guarded the Great Paintings of Ariamis for ages, passing their duty down through the generations, but the reason for doing so passed from all memory long ago."
Armour	Painting Guardian Gloves	"Gloves worn by the alabaster-clothed guardians of the paintings in Anor Londo. Offer substantial protection versus magic.\nThey have guarded the Great Paintings of Ariamis for ages, passing their duty down through the generations, but the reason for doing so passed from all memory long ago."
Armour	Painting Guardian Waistcloth	"Waistcloth worn by the alabaster-clothed guardians of the paintings in Anor Londo. Offers substantial protection versus magic.\nThey have guarded the Great Paintings of Ariamis for ages, passing their duty down through the generations, but the reason for doing so passed from all memory long ago."
Armour	Ornstein's Helm	"Helm of the dragonslayer Ornstein, who guards the cathedral in the forsaken city of Anor Londo.\nOrnstein is believed to be the captain of the Four Knights. His golden lion helm is imbued with the power of lightning and should provide good protection against it."
Armour	Ornstein's Armor	"Armor of the dragonslayer Ornstein, who guards the cathedral in the forsaken city of Anor Londo.\nOrnstein is believed to be the captain of the Four Knights. His golden lion armor is imbued with the power of lightning and should provide good protection against it."
Armour	Ornstein's Gauntlets	"Gauntlets of the dragonslayer Ornstein, who guards the cathedral in the forsaken city of Anor Londo.\nOrnstein is believed to be the captain of the Four Knights. His golden lion gauntlets are imbued with the power of lightning and should provide good protection against it."
Armour	Ornstein's Leggings	"Leggings of the dragonslayer Ornstein, who guards the cathedral in the forsaken city of Anor Londo.\nOrnstein is believed to be the captain of the Four Knights. His golden lion leggings are imbued with the power of lightning and should provide good protection against it."
Armour	Eastern Helm	"A distinctive helm made in an Eastern land.\nExquisitely crafted, this helm offers excellent defense, particularly versus slash attacks, which are one of the main threats in battles in the East."
Armour	Eastern Armor	"Distinctive armor made in an Eastern Land.\nExquisitely crafted, this armor offers excellent defense, particularly versus slash attacks, which are one of the main threats in battles in the East."
Armour	Eastern Gauntlets	"Distinctive gauntlets made in an Eastern land.\nExquisitely crafted, these gauntlets offer excellent defense, particularly versus slash attacks, which are one of the main threats in battles in the East."
Armour	Eastern Leggings	"Distinctive leggings made in an Eastern land.\nExquisitely crafted, these leggings offer excellent defense, particularly versus slash attacks, which are one of the main threats in battles in the East."
Armour	Xanthous Crown	"A mysterious item once worn by the Xanthous King Jeremiah, the legendary exile. No one knows where it came from.\nThe crown bears high-quality cloth which is quite soft to the touch, but its bright yellow color stings the eyes, and it is clearly far too big."
Armour	Xanthous Overcoat	"A mysterious item once worn by the Xanthous King Jeremiah, the legendary exile. No one knows where it came from.\nIt may be tattered, but its bright yellow color still stings the eyes."
Armour	Xanthous Gloves	"Mysterious items once worn by the Xanthous King Jeremiah, the legendary exile. No one knows where they came from.\nThey may be tattered, but their bright yellow color still stings the eyes."
Armour	Xanthous Waistcloth	"A mysterious item once worn by the Xanthous King Jeremiah, the legendary exile. No one knows where it came from.\nIt may be tattered, but its bright yellow color still stings the eyes."
Armour	Thief Mask	"Mask of sinners. They hide their faces, stifle their voices and hide in the shadows. It does not provide much in the way of defense."
Armour	Black Leather Armor	"This armor made of smooth black leather is extremely quiet, a good thing for those who hide in the shadows.\nThe leather itself is thick, offering a decent level of protection."
Armour	Black Leather Gloves	"These gloves made of smooth black leather are extremely quiet, good for those who hide in the shadows.\nThe leather itself is thick, offering a decent level of protection."
Armour	Black Leather Boots	"These boots made of smooth black leather are extremely quiet, good for those who hide in the shadows.\nThe leather itself is thick, offering a decent level of protection."
Armour	Priest's Hat	Distinctive hat worn only by Way of White priests in Thorolund.\nIt is simply meant to show their position within the hierarchy. It holds almost no meaning in the land of Lordran.
Armour	Holy Robe	"Robe donned by men of the cloth. Though plain to the eye, its hardy fabric repels rain and keeps the body warm.\nThose dissatisfied with church teachings must test their faith by going on a spiritual journey. Such is the ritual self-purification of the Way of White."
Armour	Traveling Gloves	"Thick, sturdy gloves made for travelers on extended journeys."
Armour	Holy Trousers	"Trousers donned by men of the cloth. Though plain to the eye, their hardy fabric repels rain and keeps the body warm.\nThose dissatisfied with church teachings must test their faith by going on a spiritual journey. Such is the ritual self-purification of the Way of White."
Armour	Black Knight Helm	"Helm of the Black Knights who haunt Lordran.\nThe knights followed Lord Gwyn when he departed to link the Fire but they were burned to ashes in the newly kindled flame, wandering the world as disembodied spirits ever after."
Armour	Black Knight Armor	"Armor of the Black Knights who haunt Lordran.\nThe knights followed Lord Gwyn when he departed to link the Fire, but they were burned to ashes in the newly kindled flame, wandering the world as disembodied spirits ever after."
Armour	Black Knight Gauntlets	"Gauntlets of the Black Knights who haunt Lordran.\nThe knights pursued Lord Gwyn when he departed to link the Fire, but they were burned to ashes in the newly kindled flame, wandering the world as disembodied spirits ever after."
Armour	Black Knight Leggings	"Leggings of the Black Knights who haunt Lordran.\nThe knights followed Lord Gwyn when he departed to link the flame, but they were burned to ashes in the newly kindled fire, wandering the world as disembodied spirits ever after."
Armour	Crown of Dusk	"Special magic crown bestowed upon Dusk, Princess of Oolacile, upon her birth.\nIts wearer is blessed by all manner of magic. This raises the power and effect of the wearer's magic, but damage suffered by magic attacks also rises."
Armour	Antiquated Dress	"A dress from the ancient fallen land of Oolacile. Its ivory-colored silk features elaborate embroidery and is imbued with ancient magic power.\nOne cannot expect any physical protection from this garment, as it was not meant to be worn in battle."
Armour	Antiquated Gloves	"Gloves from the ancient fallen land of Oolacile. Their ivory-colored silk features elaborate embroidery and are imbued with ancient magic power.\nOne cannot expect any physical protection from these, as they were not meant to be worn in battle."
Armour	Antiquated Skirt	"A skirt from the ancient fallen land of Oolacile. Its ivory-colored silk features elaborate embroidery and is imbued with ancient magic power.\nOne cannot expect any physical protection from this garment, as it was not meant to be worn in battle."
Armour	Witch Hat	"Hat of the rogue witch Beatrice.\nAlmost all magic users that employ a wand studied at Dragon School, but Beatrice is one of the few exceptions. She braved the Abyss but did not live to tell of her ordeal."
Armour	Witch Cloak	"Cloak of the rogue witch Beatrice.\nAlmost all magic users that employ catalysts studied at Dragon School, but Beatrice is one of the few exceptions. She braved the Abyss but did not live to tell of her ordeal."
Armour	Witch Gloves	"Gloves of the rogue witch Beatrice.\nAlmost all magic users that employ catalysts studied at Dragon School, but Beatrice is one of the few exceptions. She braved the Abyss but did not live to tell of her ordeal."
Armour	Witch Skirt	"Skirt of the rogue witch Beatrice.\nAlmost all magic users that employ catalysts studied at Dragon School, but Beatrice is one of the few exceptions. She braved the Abyss but did not live to tell of her ordeal."
Armour	Elite Knight Helm	"Helm of a nameless knight, perhaps an elite knight of Astora.\nAlthough he was loath to give up on his Undead mission, he perished at the Undead Asylum, and went Hollow."
Armour	Elite Knight Armor	"Armor of a nameless knight, perhaps an elite knight of Astora, based on the fire-warding heraldic symbol on its blue surcoat.\nAlthough he was loath to give up on his Undead mission, he perished at the Undead Asylum, and went Hollow."
Armour	Elite Knight Gauntlets	"Gauntlets of a nameless knight, perhaps an elite knight of Astora.\nAlthough he was loath to give up on his Undead mission, he perished at the Undead Asylum, and went Hollow."
Armour	Elite Knight Leggings	"Leggings of a nameless knight, perhaps an elite knight of Astora.\nAlthough he was loath to give up on his Undead mission, he perished at the Undead Asylum, and went Hollow."
Armour	Wanderer Hood	"Hood of an aimless traveler. Made from sturdy leather, it offers protection versus wind and rain."
Armour	Wanderer Coat	"Coat of an aimless traveler. Made from sturdy leather and quilting.\nBattle comes with the territory when one wanders the land, and this coat provides a certain degree of protection."
Armour	Wanderer Manchette	Manchette of an aimless traveler.\nMade from sturdy leather and protects the hands.
Armour	Wanderer Boots	Boots of an aimless traveler.\nMade from sturdy leather. A must-have for long journeys.
Armour	Mage Smith Hat	"Hat worn by proper mage smiths who studied at Vinheim Dragon School.\nMage smiths learn their craft alongside sorcerers, but apply their sorcery to forging weapons with magic embers."
Armour	Mage Smith Coat	"Coat worn by proper mage smiths who studied at Vinheim Dragon School.\nMage smiths learn their craft alongside sorcerers, but apply their sorcery to forging weapons with magic embers."
Armour	Mage Smith Gauntlets	"Gauntlets worn by proper mage smiths who studied at Vinheim Dragon School.\nMage smiths learn their craft alongside sorcerers, but apply their sorcery to forging weapons with magic embers."
Armour	Mage Smith Boots	"Boots worn by proper mage smiths who studied at Vinheim Dragon School.\nMage smiths learn their craft alongside sorcerers, but apply their sorcery to forging weapons with magic embers."
Armour	Big Hat	"Gigantic hat worn by the great sorcerer Logan. It completely hid his face, which led to his nickname \Big Hat.\""\nFamously antisocial, Logan used it to block out noise and people's stares so he could focus on his own thoughts, but it does not possess any special magic powers."""
Armour	Sage Robe	"Robe worn by Big Hat Logan. It is said to have been from his apprentice days at Dragon School, but it is so worn out, no one knows what it originally looked like.\nLogan, who cared little for his appearance, no doubt ever bothered to change out of it."
Armour	Traveling Gloves	Gloves worn by Big Hat Logan. They are indistinguishable from the ordinary kind worn by travelers.
Armour	Traveling Boots	Boots worn by Big Hat Logan. They are indistinguishable from the ordinary kind worn by travelers.
Armour	Knight Helm	"Helm of a lower-rank knight. Despite the thin metal used, the grooved texture gives it added protection."
Armour	Knight Armor	"Armor of a lower-rank knight. Despite the thin metal used, the grooved texture gives it added protection."
Armour	Knight Gauntlets	"Gauntlets of a lower-rank knight. Despite the thin metal used, the grooved texture gives them added protection."
Armour	Knight Leggings	"Leggings of a lower-rank knight. Despite the thin metal used, the grooved texture gives them added protection."
Armour	Dingy Hood	"Worn by the Fire Keeper at Firelink Shrine.\nIt is thought to have once been the white hood of a maiden, but smoke and ashes from bonfires have darkened it over the years."
Armour	Dingy Robe	"Worn by the Fire Keeper at Firelink Shrine.\nIt is thought to have once been the white robe of a maiden, but smoke and ashes from bonfires have darkened it over the years."
Armour	Dingy Gloves	"Worn by the Fire Keeper at Firelink Shrine.\nThey are thought to have once been the white gloves of a maiden, but smoke and ashes from bonfires have darkened them over the years."
Armour	Blood-Stained Skirt	"Worn by the Fire Keeper at Firelink Shrine.\nIt is thought to have once been the white skirt of a maiden, but its true origin is lost in patches of blood. Perhaps its former wearer was maimed to prevent escape?"
Armour	Maiden Hood	"White hood worn by traveling maidens. It is part of their formal attire, regardless of rank.\nIt is soft and well-made, but does not offer much in the way of defense, making it ill- suited to use in battle."
Armour	Maiden Robe	"White robe worn by traveling maidens. It is part of their formal attire, regardless of rank.\nIt is soft and well-made, but does not offer much in the way of defense, making it ill- suited to use in battle."
Armour	Maiden Gloves	"White gloves worn by traveling maidens. They are part of their formal attire, regardless of rank.\nWhile soft and well-made, they do not offer much in the way of defense, making them ill-suited to use in battle."
Armour	Maiden Skirt	"White skirt worn by traveling maidens. It is part of their formal attire, regardless of rank.\nIt is soft and well-made, but does not offer much in the way of defense, making it ill- suited to use in battle."
Armour	Silver Knight Helm	"Helm of the Silver Knights who protect Anor Londo.\nWhen Lord Gwyn departed to link the Fire, his knights split into two groups. The Silver Knights remained in the forsaken capital in the service of their goddess."
Armour	Silver Knight Armor	"Armor of the Silver Knights who protect Anor Londo.\nWhen Lord Gwyn departed to link the Fire, his knights split into two groups. The Silver Knights remained in the forsaken capital in the service of their goddess."
